sql_limit,varied,weight,archetype,score
10000,energy,0.000000,dataThroughTtp-cached,0.874701
10000,energy,0.000000,computeToData-cached,0.823002
10000,energy,0.000000,computeToData-compressed,0.210516
10000,energy,0.000000,computeToData,0.204564
10000,energy,0.000000,dataThroughTtp-compressed,0.178666
10000,energy,0.000000,dataThroughTtp,0.176998
10000,energy,0.050000,dataThroughTtp-cached,0.875573
10000,energy,0.050000,computeToData-cached,0.824205
10000,energy,0.050000,computeToData-compressed,0.209435
10000,energy,0.050000,computeToData,0.203435
10000,energy,0.050000,dataThroughTtp-compressed,0.177429
10000,energy,0.050000,dataThroughTtp,0.175813
10000,energy,0.100000,dataThroughTtp-cached,0.878446
10000,energy,0.100000,computeToData-cached,0.828171
10000,energy,0.100000,computeToData-compressed,0.205907
10000,energy,0.100000,computeToData,0.199749
10000,energy,0.100000,dataThroughTtp-compressed,0.173355
10000,energy,0.100000,dataThroughTtp,0.171907
10000,energy,0.150000,dataThroughTtp-cached,0.883523
10000,energy,0.150000,computeToData-cached,0.835189
10000,energy,0.150000,computeToData-compressed,0.199800
10000,energy,0.150000,computeToData,0.193360
10000,energy,0.150000,dataThroughTtp-compressed,0.166160
10000,energy,0.150000,dataThroughTtp,0.164984
10000,energy,0.200000,dataThroughTtp-cached,0.890681
10000,energy,0.200000,computeToData-cached,0.845106
10000,energy,0.200000,computeToData-compressed,0.191471
10000,energy,0.200000,computeToData,0.184629
10000,energy,0.200000,dataThroughTtp-compressed,0.156020
10000,energy,0.200000,dataThroughTtp,0.155184
10000,energy,0.250000,dataThroughTtp-cached,0.899466
10000,energy,0.250000,computeToData-cached,0.857321
10000,energy,0.250000,computeToData-compressed,0.181706
10000,energy,0.250000,computeToData,0.174361
10000,energy,0.250000,dataThroughTtp-compressed,0.143570
10000,energy,0.250000,dataThroughTtp,0.143085
10000,energy,0.300000,dataThroughTtp-cached,0.909233
10000,energy,0.300000,computeToData-cached,0.870970
10000,energy,0.300000,computeToData-compressed,0.171477
10000,energy,0.300000,computeToData,0.163555
10000,energy,0.300000,dataThroughTtp-compressed,0.129704
10000,energy,0.300000,dataThroughTtp,0.129534
10000,energy,0.350000,dataThroughTtp-cached,0.919325
10000,energy,0.350000,computeToData-cached,0.885167
10000,energy,0.350000,computeToData-compressed,0.161653
10000,energy,0.350000,computeToData,0.153114
10000,energy,0.350000,dataThroughTtp,0.115410
10000,energy,0.350000,dataThroughTtp-compressed,0.115328
10000,energy,0.400000,dataThroughTtp-cached,0.929213
10000,energy,0.400000,computeToData-cached,0.899190
10000,energy,0.400000,computeToData-compressed,0.152836
10000,energy,0.400000,computeToData,0.143673
10000,energy,0.400000,dataThroughTtp,0.101435
10000,energy,0.400000,dataThroughTtp-compressed,0.101166
10000,energy,0.450000,dataThroughTtp-cached,0.938542
10000,energy,0.450000,computeToData-cached,0.912549
10000,energy,0.450000,computeToData-compressed,0.145326
10000,energy,0.450000,computeToData,0.135569
10000,energy,0.450000,dataThroughTtp,0.088107
10000,energy,0.450000,dataThroughTtp-compressed,0.087704
10000,energy,0.500000,dataThroughTtp-cached,0.947115
10000,energy,0.500000,computeToData-cached,0.924971
10000,energy,0.500000,computeToData-compressed,0.139186
10000,energy,0.500000,computeToData,0.128890
10000,energy,0.500000,dataThroughTtp,0.075709
10000,energy,0.500000,dataThroughTtp-compressed,0.075209
10000,energy,0.550000,dataThroughTtp-cached,0.954854
10000,energy,0.550000,computeToData-cached,0.936343
10000,energy,0.550000,computeToData-compressed,0.134329
10000,energy,0.550000,computeToData,0.123566
10000,energy,0.550000,dataThroughTtp,0.064362
10000,energy,0.550000,dataThroughTtp-compressed,0.063786
10000,energy,0.600000,dataThroughTtp-cached,0.961748
10000,energy,0.600000,computeToData-cached,0.946657
10000,energy,0.600000,computeToData-compressed,0.130589
10000,energy,0.600000,computeToData,0.119438
10000,energy,0.600000,dataThroughTtp,0.054086
10000,energy,0.600000,dataThroughTtp-compressed,0.053437
10000,energy,0.650000,dataThroughTtp-cached,0.967823
10000,energy,0.650000,computeToData-cached,0.955963
10000,energy,0.650000,computeToData-compressed,0.127777
10000,energy,0.650000,computeToData,0.116316
10000,energy,0.650000,dataThroughTtp,0.044838
10000,energy,0.650000,dataThroughTtp-compressed,0.044105
10000,energy,0.700000,dataThroughTtp-cached,0.973112
10000,energy,0.700000,computeToData-cached,0.964342
10000,energy,0.700000,computeToData-compressed,0.125712
10000,energy,0.700000,computeToData,0.114012
10000,energy,0.700000,dataThroughTtp,0.036553
10000,energy,0.700000,dataThroughTtp-compressed,0.035708
10000,energy,0.750000,dataThroughTtp-cached,0.977643
10000,energy,0.750000,computeToData-cached,0.971884
10000,energy,0.750000,computeToData-compressed,0.124234
10000,energy,0.750000,computeToData,0.112358
10000,energy,0.750000,dataThroughTtp,0.029161
10000,energy,0.750000,dataThroughTtp-compressed,0.028152
10000,energy,0.800000,dataThroughTtp-cached,0.981416
10000,energy,0.800000,computeToData-cached,0.978681
10000,energy,0.800000,computeToData-compressed,0.123212
10000,energy,0.800000,computeToData,0.111210
10000,energy,0.800000,dataThroughTtp,0.022609
10000,energy,0.800000,dataThroughTtp-compressed,0.021345
10000,energy,0.850000,computeToData-cached,0.984818
10000,energy,0.850000,dataThroughTtp-cached,0.984402
10000,energy,0.850000,computeToData-compressed,0.122538
10000,energy,0.850000,computeToData,0.110452
10000,energy,0.850000,dataThroughTtp,0.016888
10000,energy,0.850000,dataThroughTtp-compressed,0.015200
10000,energy,0.900000,computeToData-cached,0.990372
10000,energy,0.900000,dataThroughTtp-cached,0.986543
10000,energy,0.900000,computeToData-compressed,0.122128
10000,energy,0.900000,computeToData,0.109990
10000,energy,0.900000,dataThroughTtp,0.012099
10000,energy,0.900000,dataThroughTtp-compressed,0.009639
10000,energy,0.950000,computeToData-cached,0.995413
10000,energy,0.950000,dataThroughTtp-cached,0.987789
10000,energy,0.950000,computeToData-compressed,0.121917
10000,energy,0.950000,computeToData,0.109753
10000,energy,0.950000,dataThroughTtp,0.008627
10000,energy,0.950000,dataThroughTtp-compressed,0.004593
10000,energy,1.000000,computeToData-cached,1.000000
10000,energy,1.000000,dataThroughTtp-cached,0.988176
10000,energy,1.000000,computeToData-compressed,0.121856
10000,energy,1.000000,computeToData,0.109684
10000,energy,1.000000,dataThroughTtp,0.007308
10000,energy,1.000000,dataThroughTtp-compressed,0.000000
10000,latency,0.000000,dataThroughTtp-cached,0.853460
10000,latency,0.000000,computeToData-cached,0.794401
10000,latency,0.000000,dataThroughTtp,0.206827
10000,latency,0.000000,dataThroughTtp-compressed,0.205599
10000,latency,0.000000,computeToData-compressed,0.188836
10000,latency,0.000000,computeToData,0.182099
10000,latency,0.050000,dataThroughTtp-cached,0.855542
10000,latency,0.050000,computeToData-cached,0.797224
10000,latency,0.050000,dataThroughTtp,0.203952
10000,latency,0.050000,dataThroughTtp-compressed,0.202838
10000,latency,0.050000,computeToData-compressed,0.188470
10000,latency,0.050000,computeToData,0.181705
10000,latency,0.100000,dataThroughTtp-cached,0.862075
10000,latency,0.100000,computeToData-cached,0.806095
10000,latency,0.100000,dataThroughTtp,0.194927
10000,latency,0.100000,dataThroughTtp-compressed,0.194146
10000,latency,0.100000,computeToData-compressed,0.187346
10000,latency,0.100000,computeToData,0.180490
10000,latency,0.150000,dataThroughTtp-cached,0.872575
10000,latency,0.150000,computeToData-cached,0.820394
10000,latency,0.150000,computeToData-compressed,0.185617
10000,latency,0.150000,dataThroughTtp,0.180413
10000,latency,0.150000,dataThroughTtp-compressed,0.180090
10000,latency,0.150000,computeToData,0.178618
10000,latency,0.200000,dataThroughTtp-cached,0.885593
10000,latency,0.200000,computeToData-cached,0.838209
10000,latency,0.200000,computeToData-compressed,0.183624
10000,latency,0.200000,computeToData,0.176453
10000,latency,0.200000,dataThroughTtp-compressed,0.162507
10000,latency,0.200000,dataThroughTtp,0.162380
10000,latency,0.250000,dataThroughTtp-cached,0.899466
10000,latency,0.250000,computeToData-cached,0.857321
10000,latency,0.250000,computeToData-compressed,0.181706
10000,latency,0.250000,computeToData,0.174361
10000,latency,0.250000,dataThroughTtp-compressed,0.143570
10000,latency,0.250000,dataThroughTtp,0.143085
10000,latency,0.300000,dataThroughTtp-cached,0.912932
10000,latency,0.300000,computeToData-cached,0.876029
10000,latency,0.300000,computeToData-compressed,0.180067
10000,latency,0.300000,computeToData,0.172567
10000,latency,0.300000,dataThroughTtp-compressed,0.124975
10000,latency,0.300000,dataThroughTtp,0.124243
10000,latency,0.350000,dataThroughTtp-cached,0.925292
10000,latency,0.350000,computeToData-cached,0.893365
10000,latency,0.350000,computeToData-compressed,0.178767
10000,latency,0.350000,computeToData,0.171140
10000,latency,0.350000,dataThroughTtp-compressed,0.107709
10000,latency,0.350000,dataThroughTtp,0.106815
10000,latency,0.400000,dataThroughTtp-cached,0.936281
10000,latency,0.400000,computeToData-cached,0.908939
10000,latency,0.400000,computeToData-compressed,0.177782
10000,latency,0.400000,computeToData,0.170056
10000,latency,0.400000,dataThroughTtp-compressed,0.092182
10000,latency,0.400000,dataThroughTtp,0.091181
10000,latency,0.450000,dataThroughTtp-cached,0.945887
10000,latency,0.450000,computeToData-cached,0.922707
10000,latency,0.450000,computeToData-compressed,0.177055
10000,latency,0.450000,computeToData,0.169255
10000,latency,0.450000,dataThroughTtp-compressed,0.078460
10000,latency,0.450000,dataThroughTtp,0.077374
10000,latency,0.500000,dataThroughTtp-cached,0.954213
10000,latency,0.500000,computeToData-cached,0.934793
10000,latency,0.500000,computeToData-compressed,0.176526
10000,latency,0.500000,computeToData,0.168672
10000,latency,0.500000,dataThroughTtp-compressed,0.066434
10000,latency,0.500000,dataThroughTtp,0.065262
10000,latency,0.550000,dataThroughTtp-cached,0.961403
10000,latency,0.550000,computeToData-cached,0.945384
10000,latency,0.550000,computeToData-compressed,0.176145
10000,latency,0.550000,computeToData,0.168251
10000,latency,0.550000,dataThroughTtp-compressed,0.055930
10000,latency,0.550000,dataThroughTtp,0.054654
10000,latency,0.600000,dataThroughTtp-cached,0.967601
10000,latency,0.600000,computeToData-cached,0.954680
10000,latency,0.600000,computeToData-compressed,0.175872
10000,latency,0.600000,computeToData,0.167949
10000,latency,0.600000,dataThroughTtp-compressed,0.046764
10000,latency,0.600000,dataThroughTtp,0.045347
10000,latency,0.650000,dataThroughTtp-cached,0.972929
10000,latency,0.650000,computeToData-cached,0.962864
10000,latency,0.650000,computeToData-compressed,0.175677
10000,latency,0.650000,computeToData,0.167734
10000,latency,0.650000,dataThroughTtp-compressed,0.038769
10000,latency,0.650000,dataThroughTtp,0.037156
10000,latency,0.700000,dataThroughTtp-cached,0.977485
10000,latency,0.700000,computeToData-cached,0.970098
10000,latency,0.700000,computeToData-compressed,0.175540
10000,latency,0.700000,computeToData,0.167582
10000,latency,0.700000,dataThroughTtp-compressed,0.031806
10000,latency,0.700000,dataThroughTtp,0.029916
10000,latency,0.750000,dataThroughTtp-cached,0.981335
10000,latency,0.750000,computeToData-cached,0.976523
10000,latency,0.750000,computeToData-compressed,0.175445
10000,latency,0.750000,computeToData,0.167476
10000,latency,0.750000,dataThroughTtp-compressed,0.025776
10000,latency,0.750000,dataThroughTtp,0.023487
10000,latency,0.800000,dataThroughTtp-cached,0.984508
10000,latency,0.800000,computeToData-cached,0.982256
10000,latency,0.800000,computeToData-compressed,0.175380
10000,latency,0.800000,computeToData,0.167404
10000,latency,0.800000,dataThroughTtp-compressed,0.020626
10000,latency,0.800000,dataThroughTtp,0.017752
10000,latency,0.850000,computeToData-cached,0.987394
10000,latency,0.850000,dataThroughTtp-cached,0.986999
10000,latency,0.850000,computeToData-compressed,0.175338
10000,latency,0.850000,computeToData,0.167358
10000,latency,0.850000,dataThroughTtp-compressed,0.016373
10000,latency,0.850000,dataThroughTtp,0.012611
10000,latency,0.900000,computeToData-cached,0.992020
10000,latency,0.900000,dataThroughTtp-cached,0.988774
10000,latency,0.900000,computeToData-compressed,0.175312
10000,latency,0.900000,computeToData,0.167330
10000,latency,0.900000,dataThroughTtp-compressed,0.013125
10000,latency,0.900000,dataThroughTtp,0.007984
10000,latency,0.950000,computeToData-cached,0.996202
10000,latency,0.950000,dataThroughTtp-cached,0.989804
10000,latency,0.950000,computeToData-compressed,0.175300
10000,latency,0.950000,computeToData,0.167316
10000,latency,0.950000,dataThroughTtp-compressed,0.011088
10000,latency,0.950000,dataThroughTtp,0.003799
10000,latency,1.000000,computeToData-cached,1.000000
10000,latency,1.000000,dataThroughTtp-cached,0.990122
10000,latency,1.000000,computeToData-compressed,0.175296
10000,latency,1.000000,computeToData,0.167311
10000,latency,1.000000,dataThroughTtp-compressed,0.010421
10000,latency,1.000000,dataThroughTtp,0.000000
10000,cost,0.000000,computeToData-cached,1.000000
10000,cost,0.000000,dataThroughTtp-cached,0.898182
10000,cost,0.000000,computeToData-compressed,0.184575
10000,cost,0.000000,computeToData,0.177078
10000,cost,0.000000,dataThroughTtp-compressed,0.007966
10000,cost,0.000000,dataThroughTtp,0.004621
10000,cost,0.050000,computeToData-cached,0.974395
10000,cost,0.050000,dataThroughTtp-cached,0.898215
10000,cost,0.050000,computeToData-compressed,0.184502
10000,cost,0.050000,computeToData,0.177008
10000,cost,0.050000,dataThroughTtp-compressed,0.026888
10000,cost,0.050000,dataThroughTtp,0.026063
10000,cost,0.100000,computeToData-cached,0.947441
10000,cost,0.100000,dataThroughTtp-cached,0.898327
10000,cost,0.100000,computeToData-compressed,0.184249
10000,cost,0.100000,computeToData,0.176769
10000,cost,0.100000,dataThroughTtp-compressed,0.053380
10000,cost,0.100000,dataThroughTtp,0.052878
10000,cost,0.150000,computeToData-cached,0.919028
10000,cost,0.150000,dataThroughTtp-cached,0.898547
10000,cost,0.150000,computeToData-compressed,0.183756
10000,cost,0.150000,computeToData,0.176303
10000,cost,0.150000,dataThroughTtp-compressed,0.081735
10000,cost,0.150000,dataThroughTtp,0.081294
10000,cost,0.200000,dataThroughTtp-cached,0.898911
10000,cost,0.200000,computeToData-cached,0.889033
10000,cost,0.200000,computeToData-compressed,0.182944
10000,cost,0.200000,computeToData,0.175533
10000,cost,0.200000,dataThroughTtp-compressed,0.111774
10000,cost,0.200000,dataThroughTtp,0.111324
10000,cost,0.250000,dataThroughTtp-cached,0.899466
10000,cost,0.250000,computeToData-cached,0.857321
10000,cost,0.250000,computeToData-compressed,0.181706
10000,cost,0.250000,computeToData,0.174361
10000,cost,0.250000,dataThroughTtp-compressed,0.143570
10000,cost,0.250000,dataThroughTtp,0.143085
10000,cost,0.300000,dataThroughTtp-cached,0.900278
10000,cost,0.300000,computeToData-cached,0.823741
10000,cost,0.300000,computeToData-compressed,0.179908
10000,cost,0.300000,dataThroughTtp-compressed,0.177250
10000,cost,0.300000,dataThroughTtp,0.176718
10000,cost,0.300000,computeToData,0.172658
10000,cost,0.350000,dataThroughTtp-cached,0.901432
10000,cost,0.350000,computeToData-cached,0.788123
10000,cost,0.350000,dataThroughTtp-compressed,0.212975
10000,cost,0.350000,dataThroughTtp,0.212392
10000,cost,0.350000,computeToData-compressed,0.177375
10000,cost,0.350000,computeToData,0.170257
10000,cost,0.400000,dataThroughTtp-cached,0.903037
10000,cost,0.400000,computeToData-cached,0.750274
10000,cost,0.400000,dataThroughTtp-compressed,0.250928
10000,cost,0.400000,dataThroughTtp,0.250294
10000,cost,0.400000,computeToData-compressed,0.173889
10000,cost,0.400000,computeToData,0.166949
10000,cost,0.450000,dataThroughTtp-cached,0.905236
10000,cost,0.450000,computeToData-cached,0.709978
10000,cost,0.450000,dataThroughTtp-compressed,0.291323
10000,cost,0.450000,dataThroughTtp,0.290639
10000,cost,0.450000,computeToData-compressed,0.169183
10000,cost,0.450000,computeToData,0.162480
10000,cost,0.500000,dataThroughTtp-cached,0.908203
10000,cost,0.500000,computeToData-cached,0.666991
10000,cost,0.500000,dataThroughTtp-compressed,0.334398
10000,cost,0.500000,dataThroughTtp,0.333670
10000,cost,0.500000,computeToData-compressed,0.162952
10000,cost,0.500000,computeToData,0.156554
10000,cost,0.550000,dataThroughTtp-cached,0.912144
10000,cost,0.550000,computeToData-cached,0.621033
10000,cost,0.550000,dataThroughTtp-compressed,0.380428
10000,cost,0.550000,dataThroughTtp,0.379663
10000,cost,0.550000,computeToData-compressed,0.154872
10000,cost,0.550000,computeToData,0.148856
10000,cost,0.600000,dataThroughTtp-cached,0.917280
10000,cost,0.600000,computeToData-cached,0.571786
10000,cost,0.600000,dataThroughTtp-compressed,0.429727
10000,cost,0.600000,dataThroughTtp,0.428936
10000,cost,0.600000,computeToData-compressed,0.144639
10000,cost,0.600000,computeToData,0.139089
10000,cost,0.650000,dataThroughTtp-cached,0.923811
10000,cost,0.650000,computeToData-cached,0.518883
10000,cost,0.650000,dataThroughTtp-compressed,0.482654
10000,cost,0.650000,dataThroughTtp,0.481852
10000,cost,0.650000,computeToData-compressed,0.132043
10000,cost,0.650000,computeToData,0.127039
10000,cost,0.700000,dataThroughTtp-cached,0.931866
10000,cost,0.700000,dataThroughTtp-compressed,0.539625
10000,cost,0.700000,dataThroughTtp,0.538829
10000,cost,0.700000,computeToData-cached,0.461901
10000,cost,0.700000,computeToData-compressed,0.117038
10000,cost,0.700000,computeToData,0.112654
10000,cost,0.750000,dataThroughTtp-cached,0.941435
10000,cost,0.750000,dataThroughTtp-compressed,0.601121
10000,cost,0.750000,dataThroughTtp,0.600354
10000,cost,0.750000,computeToData-cached,0.400350
10000,cost,0.750000,computeToData-compressed,0.099813
10000,cost,0.750000,computeToData,0.096106
10000,cost,0.800000,dataThroughTtp-cached,0.952316
10000,cost,0.800000,dataThroughTtp-compressed,0.667703
10000,cost,0.800000,dataThroughTtp,0.666994
10000,cost,0.800000,computeToData-cached,0.333658
10000,cost,0.800000,computeToData-compressed,0.080799
10000,cost,0.800000,computeToData,0.077812
10000,cost,0.850000,dataThroughTtp-cached,0.964122
10000,cost,0.850000,dataThroughTtp-compressed,0.740028
10000,cost,0.850000,dataThroughTtp,0.739414
10000,cost,0.850000,computeToData-cached,0.261151
10000,cost,0.850000,computeToData-compressed,0.060625
10000,cost,0.850000,computeToData,0.058380
10000,cost,0.900000,dataThroughTtp-cached,0.976342
10000,cost,0.900000,dataThroughTtp-compressed,0.818874
10000,cost,0.900000,dataThroughTtp,0.818401
10000,cost,0.900000,computeToData-cached,0.182035
10000,cost,0.900000,computeToData-compressed,0.040003
10000,cost,0.900000,computeToData,0.038511
10000,cost,0.950000,dataThroughTtp-cached,0.988448
10000,cost,0.950000,dataThroughTtp-compressed,0.905163
10000,cost,0.950000,dataThroughTtp,0.904889
10000,cost,0.950000,computeToData-cached,0.095364
10000,cost,0.950000,computeToData-compressed,0.019611
10000,cost,0.950000,computeToData,0.018870
10000,cost,1.000000,dataThroughTtp,1.000000
10000,cost,1.000000,dataThroughTtp-cached,1.000000
10000,cost,1.000000,dataThroughTtp-compressed,1.000000
10000,cost,1.000000,computeToData,0.000000
10000,cost,1.000000,computeToData-cached,0.000000
10000,cost,1.000000,computeToData-compressed,0.000000
10000,privacy,0.000000,dataThroughTtp-cached,0.989438
10000,privacy,0.000000,computeToData-cached,0.856562
10000,privacy,0.000000,computeToData-compressed,0.152906
10000,privacy,0.000000,dataThroughTtp-compressed,0.144342
10000,privacy,0.000000,computeToData,0.143864
10000,privacy,0.000000,dataThroughTtp,0.143850
10000,privacy,0.050000,dataThroughTtp-cached,0.979858
10000,privacy,0.050000,computeToData-cached,0.856581
10000,privacy,0.050000,computeToData-compressed,0.153731
10000,privacy,0.050000,computeToData,0.144750
10000,privacy,0.050000,dataThroughTtp-compressed,0.144323
10000,privacy,0.050000,dataThroughTtp,0.143831
10000,privacy,0.100000,dataThroughTtp-cached,0.962842
10000,privacy,0.100000,computeToData-cached,0.856647
10000,privacy,0.100000,computeToData-compressed,0.156533
10000,privacy,0.100000,computeToData,0.147750
10000,privacy,0.100000,dataThroughTtp-compressed,0.144256
10000,privacy,0.100000,dataThroughTtp,0.143765
10000,privacy,0.150000,dataThroughTtp-cached,0.943519
10000,privacy,0.150000,computeToData-cached,0.856776
10000,privacy,0.150000,computeToData-compressed,0.161816
10000,privacy,0.150000,computeToData,0.153382
10000,privacy,0.150000,dataThroughTtp-compressed,0.144124
10000,privacy,0.150000,dataThroughTtp,0.143634
10000,privacy,0.200000,dataThroughTtp-cached,0.922403
10000,privacy,0.200000,computeToData-cached,0.856991
10000,privacy,0.200000,computeToData-compressed,0.170067
10000,privacy,0.200000,computeToData,0.162125
10000,privacy,0.200000,dataThroughTtp-compressed,0.143906
10000,privacy,0.200000,dataThroughTtp,0.143418
10000,privacy,0.250000,dataThroughTtp-cached,0.899466
10000,privacy,0.250000,computeToData-cached,0.857321
10000,privacy,0.250000,computeToData-compressed,0.181706
10000,privacy,0.250000,computeToData,0.174361
10000,privacy,0.250000,dataThroughTtp-compressed,0.143570
10000,privacy,0.250000,dataThroughTtp,0.143085
10000,privacy,0.300000,dataThroughTtp-cached,0.874550
10000,privacy,0.300000,computeToData-cached,0.857810
10000,privacy,0.300000,computeToData-compressed,0.197058
10000,privacy,0.300000,computeToData,0.190365
10000,privacy,0.300000,dataThroughTtp-compressed,0.143072
10000,privacy,0.300000,dataThroughTtp,0.142592
10000,privacy,0.350000,computeToData-cached,0.858517
10000,privacy,0.350000,dataThroughTtp-cached,0.847426
10000,privacy,0.350000,computeToData-compressed,0.216359
10000,privacy,0.350000,computeToData,0.210316
10000,privacy,0.350000,dataThroughTtp-compressed,0.142353
10000,privacy,0.350000,dataThroughTtp,0.141879
10000,privacy,0.400000,computeToData-cached,0.859525
10000,privacy,0.400000,dataThroughTtp-cached,0.817812
10000,privacy,0.400000,computeToData-compressed,0.239783
10000,privacy,0.400000,computeToData,0.234348
10000,privacy,0.400000,dataThroughTtp-compressed,0.141328
10000,privacy,0.400000,dataThroughTtp,0.140863
10000,privacy,0.450000,computeToData-cached,0.860953
10000,privacy,0.450000,dataThroughTtp-cached,0.785361
10000,privacy,0.450000,computeToData-compressed,0.267493
10000,privacy,0.450000,computeToData,0.262594
10000,privacy,0.450000,dataThroughTtp-compressed,0.139876
10000,privacy,0.450000,dataThroughTtp,0.139424
10000,privacy,0.500000,computeToData-cached,0.862970
10000,privacy,0.500000,dataThroughTtp-cached,0.749654
10000,privacy,0.500000,computeToData-compressed,0.299680
10000,privacy,0.500000,computeToData,0.295236
10000,privacy,0.500000,dataThroughTtp-compressed,0.137826
10000,privacy,0.500000,dataThroughTtp,0.137391
10000,privacy,0.550000,computeToData-cached,0.865819
10000,privacy,0.550000,dataThroughTtp-cached,0.710181
10000,privacy,0.550000,computeToData-compressed,0.336605
10000,privacy,0.550000,computeToData,0.332534
10000,privacy,0.550000,dataThroughTtp-compressed,0.134932
10000,privacy,0.550000,dataThroughTtp,0.134522
10000,privacy,0.600000,computeToData-cached,0.869840
10000,privacy,0.600000,dataThroughTtp-cached,0.666319
10000,privacy,0.600000,computeToData-compressed,0.378623
10000,privacy,0.600000,computeToData,0.374855
10000,privacy,0.600000,dataThroughTtp-compressed,0.130851
10000,privacy,0.600000,dataThroughTtp,0.130472
10000,privacy,0.650000,computeToData-cached,0.875506
10000,privacy,0.650000,dataThroughTtp-cached,0.617297
10000,privacy,0.650000,computeToData-compressed,0.426214
10000,privacy,0.650000,computeToData,0.422697
10000,privacy,0.650000,dataThroughTtp-compressed,0.125106
10000,privacy,0.650000,dataThroughTtp,0.124769
10000,privacy,0.700000,computeToData-cached,0.883434
10000,privacy,0.700000,dataThroughTtp-cached,0.562148
10000,privacy,0.700000,computeToData-compressed,0.480011
10000,privacy,0.700000,computeToData,0.476717
10000,privacy,0.700000,dataThroughTtp-compressed,0.117080
10000,privacy,0.700000,dataThroughTtp,0.116796
10000,privacy,0.750000,computeToData-cached,0.894351
10000,privacy,0.750000,computeToData-compressed,0.540836
10000,privacy,0.750000,computeToData,0.537765
10000,privacy,0.750000,dataThroughTtp-cached,0.499652
10000,privacy,0.750000,dataThroughTtp-compressed,0.106049
10000,privacy,0.750000,dataThroughTtp,0.105825
10000,privacy,0.800000,computeToData-cached,0.908950
10000,privacy,0.800000,computeToData-compressed,0.609741
10000,privacy,0.800000,computeToData,0.606935
10000,privacy,0.800000,dataThroughTtp-cached,0.428237
10000,privacy,0.800000,dataThroughTtp-compressed,0.091328
10000,privacy,0.800000,dataThroughTtp,0.091169
10000,privacy,0.850000,computeToData-cached,0.927591
10000,privacy,0.850000,computeToData-compressed,0.688083
10000,privacy,0.850000,computeToData,0.685631
10000,privacy,0.850000,dataThroughTtp-cached,0.345848
10000,privacy,0.850000,dataThroughTtp-compressed,0.072577
10000,privacy,0.850000,dataThroughTtp,0.072479
10000,privacy,0.900000,computeToData-cached,0.949912
10000,privacy,0.900000,computeToData-compressed,0.777606
10000,privacy,0.900000,computeToData,0.775669
10000,privacy,0.900000,dataThroughTtp-cached,0.249749
10000,privacy,0.900000,dataThroughTtp-compressed,0.050172
10000,privacy,0.900000,dataThroughTtp,0.050121
10000,privacy,0.950000,computeToData-cached,0.974662
10000,privacy,0.950000,computeToData-compressed,0.880582
10000,privacy,0.950000,computeToData,0.879415
10000,privacy,0.950000,dataThroughTtp-cached,0.136206
10000,privacy,0.950000,dataThroughTtp-compressed,0.025370
10000,privacy,0.950000,dataThroughTtp,0.025349
10000,privacy,1.000000,computeToData,1.000000
10000,privacy,1.000000,computeToData-cached,1.000000
10000,privacy,1.000000,computeToData-compressed,1.000000
10000,privacy,1.000000,dataThroughTtp,0.000000
10000,privacy,1.000000,dataThroughTtp-cached,0.000000
